               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0535,            0.021734,            0.086254,             0.71911,            0.099701,             0.10241,            0.071475,            0.031663,           0.0049695,            0.073004,            0.070056,           0.0033271,           0.0033271
                   1,             0.04205,            0.016724,            0.061051,             0.68105,             0.22183,             0.21091,             0.14423,            0.033591,           0.0054704,            0.055975,            0.039836,           0.0064407,           0.0064407
                   2,            0.043689,             0.01729,            0.053853,              0.5363,             0.15569,             0.12743,            0.073146,            0.042707,           0.0071784,            0.062275,           0.0093964,           0.0093342,           0.0093342
                   3,            0.045476,            0.019493,            0.057431,             0.54955,             0.17591,             0.14703,            0.091835,            0.040453,           0.0067531,            0.060734,             0.00901,             0.00901,             0.00901
                   4,             0.04469,            0.019267,            0.054366,             0.66719,             0.15529,             0.15986,            0.094412,            0.043585,           0.0072939,            0.062624,             0.00901,             0.00901,             0.00901
                   5,            0.043817,            0.018622,            0.051251,             0.52813,             0.26133,                0.25,             0.16278,            0.038512,           0.0063606,            0.050622,             0.00868,             0.00868,             0.00868
                   6,            0.041737,            0.018286,            0.047959,             0.41367,             0.26547,             0.21267,             0.13629,            0.035755,           0.0067722,            0.051936,             0.00835,             0.00835,             0.00835
                   7,            0.040582,            0.018016,            0.045325,              0.4856,             0.35189,             0.31501,             0.21099,            0.034444,           0.0060768,            0.044499,             0.00802,             0.00802,             0.00802
                   8,            0.039146,            0.017581,            0.043108,             0.50015,             0.34008,             0.31613,               0.212,            0.032964,           0.0062462,            0.041852,             0.00769,             0.00769,             0.00769
                   9,            0.038439,            0.017382,            0.041122,              0.5013,             0.33836,             0.33287,              0.2355,            0.031852,            0.006034,            0.042789,             0.00736,             0.00736,             0.00736
                  10,            0.037587,            0.016882,             0.03758,             0.47205,             0.39278,             0.37404,             0.26495,            0.031078,           0.0059427,            0.039032,             0.00703,             0.00703,             0.00703
                  11,            0.036853,            0.016796,            0.036783,             0.51624,             0.41594,             0.41234,             0.29953,            0.029319,           0.0063072,            0.038909,              0.0067,              0.0067,              0.0067
                  12,            0.036436,              0.0164,            0.034154,             0.54162,              0.4355,             0.44007,             0.32029,            0.029753,           0.0059599,            0.035807,             0.00637,             0.00637,             0.00637
                  13,            0.035172,             0.01636,            0.033165,             0.53482,             0.45464,             0.45638,             0.33853,            0.028678,            0.005888,            0.036369,             0.00604,             0.00604,             0.00604
                  14,            0.035528,            0.016187,            0.032335,             0.51437,               0.478,             0.46887,             0.35343,            0.028521,           0.0057098,            0.036141,             0.00571,             0.00571,             0.00571
                  15,            0.034003,            0.015881,            0.031139,             0.54563,             0.48495,             0.49495,             0.37856,             0.02787,           0.0058501,            0.034205,             0.00538,             0.00538,             0.00538
                  16,            0.032899,            0.015605,            0.029408,             0.55683,             0.51374,             0.51299,              0.3983,            0.025929,           0.0057391,            0.035691,             0.00505,             0.00505,             0.00505
                  17,            0.032524,            0.015352,            0.027834,             0.55067,             0.53556,             0.52172,             0.40547,            0.025733,           0.0058095,            0.030547,             0.00472,             0.00472,             0.00472
                  18,            0.031745,            0.015235,            0.027037,             0.56893,             0.55048,             0.54026,             0.42234,            0.024946,           0.0057139,            0.029441,             0.00439,             0.00439,             0.00439
                  19,            0.031516,            0.015142,            0.027141,             0.60453,             0.55671,             0.56092,              0.4434,            0.024599,           0.0058319,             0.02842,             0.00406,             0.00406,             0.00406
                  20,             0.03045,            0.014751,            0.025187,             0.60399,             0.55887,             0.57672,             0.45925,             0.02463,           0.0056107,             0.02829,             0.00373,             0.00373,             0.00373
                  21,            0.030476,            0.014602,            0.024566,             0.62321,             0.57094,             0.58627,             0.46797,            0.024427,           0.0055457,            0.028031,              0.0034,              0.0034,              0.0034
                  22,            0.029201,            0.014504,             0.02306,             0.60208,             0.58064,             0.59644,             0.47705,            0.023828,           0.0060159,            0.027242,             0.00307,             0.00307,             0.00307
                  23,            0.028976,            0.014387,             0.02143,              0.6282,             0.59688,              0.6064,               0.493,            0.023745,           0.0056829,            0.026229,             0.00274,             0.00274,             0.00274
                  24,            0.028296,             0.01409,            0.021612,             0.59754,             0.62663,             0.61446,             0.50155,            0.023124,           0.0057319,            0.025915,             0.00241,             0.00241,             0.00241
                  25,            0.027637,            0.013972,            0.019596,             0.60558,             0.63814,             0.62605,              0.5152,            0.022761,           0.0055742,            0.025175,             0.00208,             0.00208,             0.00208
                  26,            0.026906,            0.013828,             0.01981,             0.61095,             0.63318,             0.63465,             0.52291,            0.021992,           0.0056354,             0.02488,             0.00175,             0.00175,             0.00175
                  27,            0.026075,            0.013668,            0.018677,             0.61411,             0.65306,             0.64442,             0.53301,             0.02185,           0.0056286,            0.024697,             0.00142,             0.00142,             0.00142
                  28,             0.02537,            0.013389,            0.017917,             0.60369,             0.66089,             0.65043,             0.54004,              0.0218,           0.0054704,            0.024158,             0.00109,             0.00109,             0.00109
                  29,            0.025046,            0.013308,            0.017197,             0.61099,             0.66202,             0.65333,             0.54672,            0.021602,           0.0055285,            0.024599,             0.00076,             0.00076,             0.00076
